sample_name	subphylum	relative_abundance	subphylum_label
13114.song.53.s005	Wallemiomycotina	0.00031583442488696076	Wallemiomycotina
13114.song.53.s006	Pezizomycotina	0.004434021309645119	Pezizomycotina
13114.song.53.s006	Saccharomycotina	0.0408740509181357	Saccharomycotina
13114.song.53.s006	Ustilaginomycotina	0.06673961960416536	Ustilaginomycotina
13114.song.53.s007	Pezizomycotina	0.00046553282268262125	Pezizomycotina
13114.song.53.s007	Saccharomycotina	0.3634453541085114	Saccharomycotina
13114.song.53.s007	Ustilaginomycotina	7.758880378043687e-05	Ustilaginomycotina
13114.song.53.s008	Saccharomycotina	0.000363850273404863	Saccharomycotina
13114.song.53.s011	Saccharomycotina	0.04657396938430756	Saccharomycotina
13114.song.53.s014	Agaricomycotina	8.91743463406353e-05	Agaricomycotina
13114.song.53.s014	Pezizomycotina	0.0006097036703289949	Pezizomycotina
13114.song.53.s014	Pucciniomycotina	0.00011820785445153981	Pucciniomycotina
13114.song.53.s014	Saccharomycotina	1.9455084188256084	Saccharomycotina
13114.song.53.s014	Ustilaginomycotina	0.0007050994826933954	Ustilaginomycotina
13114.song.53.s014	Wallemiomycotina	0.0001493151845703661	Wallemiomycotina
13114.stegen.36.s001	Pezizomycotina	0.001113612456012308	Pezizomycotina
13114.stegen.36.s002	Pezizomycotina	0.0016750817203824671	Pezizomycotina
13114.stegen.36.s009	Pezizomycotina	0.0005076560544730978	Pezizomycotina
13114.stegen.36.s011	Pezizomycotina	0.0002025686056672619	Pezizomycotina
13114.stegen.36.s011	Saccharomycotina	0.015708003789462823	Saccharomycotina
13114.stegen.37.s009	Ustilaginomycotina	0.0039851751484477746	Ustilaginomycotina
13114.stegen.38.s005	Pezizomycotina	0.0010167870423340962	Pezizomycotina
